target_inter_id,target_inter_name,movement,entrance_dir8,entrance_eight_direction,turn_dir_no,exit_dir8,downstream_inter_id,downstream_inter_name,receiving_eight_direction,receiving_turn_dir_no,period,target_overflow_max_pm,target_overflow_mean_pm,target_overflow_max_all,target_sat_max_pm,target_green_util_max_pm,target_queue_max_m_pm,downstream_overflow_max_pm,downstream_sat_max_pm,screen_type,target_overflow_problem,target_sat_problem,target_high_demand,downstream_blocked,downstream_slack,has_downstream_dwd
011wwe0rtv700001,燕子山西路与环山路路口,东进口直行,2,3,2,6,011wwe0rtfb00001,环山路与环山路路口,3,2,evening_peak,2.7581,0.0379,2.7581,,,241.0,0.1637,,TYPE1_POINT,True,False,False,False,True,True
011wwe28dxv00001,坤顺路与坤顺路路口,东进口直行,2,3,2,6,011wwe28dxj00001,坤顺路与坤顺路路口,3,2,evening_peak,2.2328,0.0798,2.2328,,,126.4,0.37,,TYPE1_POINT,True,False,False,False,True,True
011wwe2c0k000001,花园东路与轻风路路口,西进口直行,6,7,2,2,011wwe2c0qe00001,舜华北路与花园东路路口,7,2,evening_peak,1.8355,0.0573,1.8355,,,168.0,0.1487,,TYPE1_POINT,True,False,False,False,True,True
011wwe28udk00001,子云街与齐音路路口,西进口左转,6,7,1,0,011wwe28uf400001,虞舜街与齐音路路口,5,1,evening_peak,1.734,0.0176,1.734,,,221.6,0.0404,,TYPE1_POINT,True,False,False,False,True,True
011wwe0xmz000001,历山路辅路与历山路辅路路口,东南进口直行,3,4,2,7,011wwe0xmyx00001,历山路与海晏门街路口,4,2,evening_peak,1.4483,0.1344,1.4483,,,102.8,0.4472,,TYPE1_POINT,True,False,False,False,True,True
011wwe29qe600001,颖秀路与颖秀路路口,南进口直行,4,5,2,0,011wwe29qg500001,会展路与颖秀路路口,5,2,evening_peak,1.378,0.1515,1.378,,,173.0,0.5009,0.4932,TYPE1_POINT,True,False,False,False,True,True
011wwe28w7700001,化纤厂路与华能路路口,东进口左转,2,3,1,4,011wwe28tes00001,华龙路与化纤厂路路口,1,1,evening_peak,1.2638,0.1139,1.2638,,,93.0,0.07,,TYPE1_POINT,True,False,False,False,True,True
011wwe28f9j00001,茂岭山三号路与规划一号路路口,南进口直行,4,5,2,0,011wwe28fck00001,汉臣街与山左路路口,5,2,evening_peak,1.2078,0.1022,1.2078,,,128.0,0.2149,,TYPE1_POINT,True,False,False,False,True,True
011wwe280c300001,二环东路辅路与窑头路路口,东进口直行,2,3,2,6,011wwe280bc00001,二环东路辅路与文化东路路口,3,2,evening_peak,1.1313,0.1818,1.1313,,,183.4,0.4721,,TYPE1_POINT,True,False,False,False,True,True
011wwe2c01100001,花园东路与奥体中路路口,西进口直行,6,7,2,2,011wwe2c05q00001,崇华路与花园东路路口,7,2,evening_peak,1.0834,0.4003,1.0834,,,100.0,0.2446,,TYPE1_POINT,True,False,False,False,True,True
011wwe29y8r00001,凤凰路与天辰路路口,北进口直行,0,1,2,4,011wwe29y0c00001,凤凰路与新泺大街路口,1,2,evening_peak,1.0361,0.0642,1.0361,,,191.8,0.1207,,TYPE1_POINT,True,False,False,False,True,True
011wwe28u8p00001,山左路与山左路路口,北进口直行,0,1,2,4,011wwe28u8200001,子云街与山左路路口,1,2,evening_peak,0.9915,0.0123,0.9915,,,119.0,0.1255,,TYPE1_POINT,True,False,False,False,True,True
011wwe28f7c00001,解放东路与齐川路路口,北进口直行,0,1,2,4,011wwe28f5f00001,永绥路与齐音路路口,1,2,evening_peak,0.9731,0.0701,1.1013,1.0402,1.0402,107.8,0.1826,,TYPE1_POINT,True,True,True,False,True,True
011wwe288ys00001,无名道路与转山西路路口,北进口直行,0,1,2,4,011wwe288we00001,云腾路与转山西路路口,1,2,evening_peak,0.9316,0.0864,1.8049,,,51.2,0.4066,0.6986,TYPE1_POINT,True,False,False,False,True,True
011wwe231d900002,龙鼎大道与龙鼎大道路口,南进口直行,4,5,2,0,011wwe2344m00001,龙腾路与龙鼎大道路口,5,2,evening_peak,0.9256,0.1255,1.0221,,,55.6,0.1599,,TYPE1_POINT,True,False,False,False,True,True
011wwe29rzm00001,开拓路与沁园路路口,北进口直行,0,1,2,4,011wwe29rpq00001,康虹路与开拓路路口,1,2,evening_peak,0.8768,0.0338,0.8768,,,241.6,0.1538,,TYPE1_POINT,True,False,False,False,True,True
011wwe23ju200001,龙翔路与龙鼎大道路口,北进口直行,0,1,2,4,011wwe23jk700001,龙驰路与龙鼎大道路口,1,2,evening_peak,0.8755,0.0505,0.8755,,,164.8,0.3152,,TYPE1_POINT,True,False,False,False,True,True
011wwe283uh00001,姚家街与姚家路路口,东进口直行,2,3,2,6,011wwe283cs00001,和平东路与姚家路路口,3,2,evening_peak,0.8679,0.2027,2.1898,,0.4286,91.0,0.4781,0.0686,TYPE1_POINT,True,False,False,False,True,True
011wwe29rzm00001,开拓路与沁园路路口,南进口直行,4,5,2,0,011wwe2c2rm00001,开拓路与花园东路路口,5,2,evening_peak,0.8652,0.3019,1.9414,,,48.4,0.1817,,TYPE1_POINT,True,False,False,False,True,True
011wwe2956h00001,天泺路与礼耕路路口,东进口直行,2,3,2,6,011wwe2952100001,安成街与大辛河西路路口,3,2,evening_peak,0.86,0.0276,0.86,,0.2857,235.2,0.5552,0.0,TYPE1_POINT,True,False,False,False,True,True
011wwe2c01100001,花园东路与奥体中路路口,西进口左转,6,7,1,0,011wwe2c08w00001,奥体中路与轻风路路口,5,1,evening_peak,0.8407,0.2175,1.4301,,,77.6,0.0573,,TYPE1_POINT,True,False,False,False,True,True
011wwe28u2d00001,天辰路与山左路路口,南进口直行,4,5,2,0,011wwe28u8200001,子云街与山左路路口,5,2,evening_peak,0.8071,0.1035,0.8071,,,100.8,0.1118,,TYPE1_POINT,True,False,False,False,True,True
011wwe28fck00001,汉臣街与山左路路口,北进口直行,0,1,2,4,011wwe28f9j00001,茂岭山三号路与规划一号路路口,1,2,evening_peak,0.7965,0.0622,0.7965,,,99.0,0.4031,,WEAK_TYPE1,False,False,False,False,True,True
011wwe0x3c500001,泺源大街辅路与历山路路口,西进口直行,6,7,2,2,011wwe0x3gh00001,和平路与山师北街路口,7,2,evening_peak,0.783,0.1377,1.2205,,,139.6,0.265,,WEAK_TYPE1,False,False,False,False,True,True
011wwe28dqf00001,解放东路与解放东路路口,东进口直行,2,3,2,6,011wwe28dm500001,姚家东路与茂岭二号路路口,3,2,evening_peak,0.7823,0.0659,1.4888,,,74.4,0.2497,0.0,WEAK_TYPE1,False,False,False,False,True,True
011wwe28gg600001,新泺大街与齐音路路口,西进口直行,6,7,2,2,011wwe28gvj00001,奥体西路与新泺大街路口,7,2,evening_peak,0.7645,0.2102,1.0565,0.7445,0.7445,97.4,0.2382,,WEAK_TYPE1,False,False,False,False,True,True
011wwe28f7c00001,解放东路与齐川路路口,南进口左转,4,5,1,6,011wwe28f3100001,茂岭山三号路与解放东路路口,3,1,evening_peak,0.7494,0.0443,0.7494,,,87.0,0.1003,0.0,WEAK_TYPE1,False,False,False,False,True,True
011wwe0rx9v00001,环山路与经十路路口,西进口直行,6,7,2,2,011wwe0rxtm00001,山大路与燕子山西路路口,7,2,evening_peak,0.7465,0.3,1.2071,,,44.4,0.1947,,WEAK_TYPE1,False,False,False,False,True,True
011wwe28f3100001,茂岭山三号路与解放东路路口,南进口直行,4,5,2,0,011wwe28f3p00001,书昌街与山左路路口,5,2,evening_peak,0.7339,0.1172,0.7339,,0.3846,85.2,0.3705,,WEAK_TYPE1,False,False,False,False,True,True
011wwe22fjy00001,龙腾路与西山东路路口,北进口左转,0,1,1,2,011wwe22fpt00001,龙腾路与龙驰路路口,7,1,evening_peak,0.6988,0.0062,0.6988,,,141.2,0.0861,,WEAK_TYPE1,False,False,False,False,True,True
011wwe2800600001,二环东路辅路与经十路路口,北进口直行,0,1,2,4,011wwe0rzpp00002,二环东路辅路与燕山立交桥路口,1,2,evening_peak,0.6982,0.1528,0.8246,,,46.4,0.0359,,WEAK_TYPE1,False,False,False,False,True,True
011wwe29q7e00001,工业南路与颖秀路路口,西南进口直行,5,6,2,1,011wwe29qte00001,工业南路与舜旺路路口,6,2,evening_peak,0.6977,0.284,0.9537,,,61.6,0.1982,,WEAK_TYPE1,False,False,False,False,True,True
011wwe28euv00001,辛公北街与海右路路口,南进口直行,4,5,2,0,011wwe28shs00001,天辰路与海右路路口,5,2,evening_peak,0.6922,0.1038,0.6922,0.4286,0.4286,83.8,0.3027,0.48,WEAK_TYPE1,False,False,False,False,True,True
011wwe0qzns00001,经十一路与舜耕路路口,东进口左转,2,3,1,4,011wwe0qywd00001,舜耕路与马鞍山路路口,1,1,evening_peak,0.6919,0.0168,0.6919,,,53.4,0.0,,WEAK_TYPE1,False,False,False,False,True,True
011wwe2c9k600001,中林路与金达路路口,南进口左转,4,5,1,6,011wwe2c93900001,中林路与宏宇路路口,3,1,evening_peak,0.6906,0.0186,0.6906,,,106.4,0.0263,,WEAK_TYPE1,False,False,False,False,True,True
011wwe28usb00001,天辰路与奥体西路路口,北进口直行,0,1,2,4,011wwe28gvj00001,奥体西路与新泺大街路口,1,2,evening_peak,0.6852,0.1911,0.6852,,,85.4,0.1607,,WEAK_TYPE1,False,False,False,False,True,True
011wwe2934t00001,奥体东路与奥体东路路口,南进口直行,4,5,2,0,011wwe293dv00001,经十路辅路与草山岭西路路口,5,2,evening_peak,0.6829,0.0357,0.6829,,,35.4,0.1314,,WEAK_TYPE1,False,False,False,False,True,True
011wwe0xfbk00002,解放路辅路与解放路辅路路口,西进口直行,6,7,2,2,011wwe0xffh00001,解放路辅路与解放路辅路路口,7,2,evening_peak,0.6693,0.062,0.6693,,,161.8,0.2938,,WEAK_TYPE1,False,False,False,False,True,True
011wwe29sde00001,舜风路与舜旺路路口,西进口直行,6,7,2,2,011wwe29stn00001,开拓路与舜风路路口,7,2,evening_peak,0.6546,0.0328,0.6546,,,206.8,0.1045,,WEAK_TYPE1,False,False,False,False,True,True
011wwe2dj9500001,凤山路与凤山路路口,北进口直行,0,1,2,4,011wwe2dj1k00001,长岭山路与凤山路路口,1,2,evening_peak,0.6534,0.029,0.6534,,,130.2,0.1223,,WEAK_TYPE1,False,False,False,False,True,True
011wwe0wfxy00001,天地坛街与泉城路路口,东进口直行,2,3,2,6,011wwe0wfs500001,榜棚街与泉城路路口,3,2,evening_peak,0.6494,0.0123,1.0915,,,126.6,0.1537,,WEAK_TYPE1,False,False,False,False,True,True
011wwe282e300001,浆水泉路与经十路路口,北进口直行,0,1,2,4,011wwe2827q00001,浆水泉路与经十路路口,1,2,evening_peak,0.6452,0.2992,0.6452,,,68.0,0.7051,,WEAK_TYPE1,False,False,False,False,True,True
011wwe28g7c00001,安成街与齐音路路口,南进口直行,4,5,2,0,011wwe28ged00001,秦公街与齐音路路口,5,2,evening_peak,0.6401,0.0547,1.7203,,,77.4,0.3384,,WEAK_TYPE1,False,False,False,False,True,True
